I (kHz),C (nM)
534.6031746,388.1431624
573.1746032,402.6650048
333.015873,156.8324403
339.3650794,159.3564748
136.7460317,62.42811623
140.7936508,62.29499934
51.98412698,24.8852021
51.98412698,25.58486842
49.20634921,31.8519819
51.26984127,30.11676992
