,Unbleached,BG,Cell1,Cell3,Cell4,Cell5,Cell6,Cell9,Cell12
1,1477.33866666667,1056.56,1518,1319.6,1372.96,1462.56,1347.52,1748.24,1657.6
2,1457.04033333333,1079.12,1454.88,1358.24,1402.16,1468.48,1325.68,1770,1692.64
3,1438.19233333333,1105.68,1117.12,1091.92,1142.16,1079.84,1099.28,1089.28,1073.92
4,1450.912,1073.04,1136.08,1068.16,1141.44,1120.64,1092.16,1152.72,1110.96
5,1440.213,1075.6,1113.12,1101.28,1135.12,1134.64,1131.2,1148.8,1165.12
6,1439.06033333333,1114.72,1122.8,1100.8,1131.2,1123.44,1108.08,1111.92,1148.08
7,1435.11733333333,1132.32,1155.36,1103.04,1127.52,1109.92,1142,1119.68,1208.64
8,1449.363,1100.4,1106.96,1151.68,1177.36,1152.64,1148.48,1142,1190.24
9,1438.462,1092.72,1115.6,1177.44,1165.04,1104.56,1124.08,1157.92,1128.8
10,1454.53733333333,1082.24,1101.84,1090.08,1097.76,1138.32,1112.96,1079.92,1163.52
11,1423.47666666667,1059.2,1120.16,1157.68,1118.96,1177.2,1111.2,1105.52,1165.2
12,1445.36066666667,1080.24,1160.24,1142.4,1147.2,1191.84,1129.2,1126.88,1221.68
13,1424.62333333333,1049.76,1144.72,1130.32,1103.84,1191.2,1102.96,1129.76,1176.8
14,1449.66066666667,1095.36,1172.96,1132.88,1146,1170,1171.04,1114,1216.24
15,1433.37766666667,1059.2,1194.32,1148.64,1190.08,1131.76,1129.76,1114,1225.76
16,1457.78533333333,1095.28,1153.92,1139.68,1155.92,1154.64,1144.8,1146.72,1241.44
17,1431.82633333333,1074.32,1178.24,1121.36,1138.56,1221.84,1143.28,1145.68,1172.32
18,1440.976,1072.88,1159.68,1109.76,1164.8,1196.56,1131.92,1160.56,1184.88
19,1442.81,1053.28,1170,1106.32,1205.52,1200.16,1110.32,1157.6,1194.72
20,1440.87333333333,1046.88,1108.72,1163.76,1122.08,1215.2,1125.52,1117.2,1176.24
21,1456.44233333333,1080.48,1132.56,1131.12,1141.28,1215.2,1148.16,1137.04,1169.36
22,1442.98866666667,1061.6,1174.48,1124.72,1127.04,1199.28,1133.36,1101.52,1107.76
23,1469.94266666667,1076.16,1135.68,1171.92,1126.24,1171.92,1145.36,1155.12,1227.68
24,1452.23466666667,1104.4,1134.96,1143.36,1133.76,1143.28,1147.28,1168.8,1231.04
25,1456.266,1060.16,1110.24,1135.2,1162.16,1142.08,1112.4,1179.84,1199.44
