,Unbleached,BG,Cell1,Cell2,Cell5,Cell6,Cell9
1,1018.98166666667,560.16,1263.6,1052.16,1171.68,1066.32,1093.44
2,1022.545,564.96,1161.84,1069.44,1239.92,1037.04,1063.6
3,1016.33733333333,556.88,718.72,784.64,704.96,699.36,754.24
4,996.244,556.16,839.2,766.8,765.36,768.8,830.96
5,996.055333333333,550.68,822.88,773.12,852.72,820.16,850.32
6,987.176,552.08,907.28,813.12,871.52,824,847.44
7,992.481,537.52,777.2,829.36,846.64,779.76,878.08
8,990.489,563.44,786.08,842,833.04,788.08,865.44
9,984.999666666667,578.48,841.6,861.52,821.92,753.76,896.72
10,993.242666666667,563.04,794.8,818.56,908.32,734.8,829.12
11,982.788,570.4,789.76,880.88,877.76,825.12,797.92
12,999.692666666667,524.12,809.92,870.56,863.68,815.2,770.24
13,991.862333333333,560.56,900.88,855.44,930.24,831.84,776.24
14,994.521666666667,546.84,816,827.52,921.92,750.4,907.28
15,1006.641,541.2,795.52,895.52,972,811.92,771.44
16,998.228666666667,529.4,815.04,889.12,905.36,770.48,776.4
17,1017.74366666667,553.52,814.08,915.36,976.24,812.88,854.96
18,1016.04766666667,559.44,834.72,924.64,867.36,879.68,860.24
19,1012.75666666667,559.96,783.92,785.76,969.44,853.92,879.36
20,994.289,528.8,801.28,920,937.68,806.96,827.04
21,991.955,550.24,755.92,848.72,888.88,776.4,838.4
22,988.339666666667,537.32,776.96,833.04,901.28,911.2,832.32
23,989.973333333333,557.84,973.52,840.88,986.56,791.2,845.36
24,954.030333333333,540.48,791.84,892.88,963.68,815.68,843.52
25,948.474666666667,516.16,822.32,893.52,851.92,854.8,817.44
26,954.061333333333,573.84,831.44,871.36,935.28,846.24,738.56
27,983.561,529.6,912,928.8,961.12,895.6,788.64
28,973.807333333333,552.72,823.12,833.12,923.44,868.16,848.56
29,970.841,566.96,799.6,949.12,943.2,818.16,777.2
30,978.757666666667,544.16,819.04,958.24,930.88,770.24,844.56
31,973.637,532.68,819.52,924.4,893.6,814.64,827.52
32,972.989666666667,565.92,857.44,940.48,927.28,773.2,804.16
33,973.591,574.36,911.6,944.56,925.12,801.2,854.56
34,956.010333333333,558.16,804.64,928.48,938.16,814.24,798.88
35,917.084666666667,568.12,871.28,900.72,941.92,845.52,766.64
36,923.763666666667,558.76,828.72,901.44,857.92,811.44,855.28
37,948.026666666667,551.56,869.36,974.16,888,783.12,788.4
38,938.756333333333,557.28,872.72,843.28,969.28,857.44,808
39,934.043333333333,560.84,844.4,939.68,916.4,771.36,800.56
40,920.923,556.28,820.4,931.44,909.44,839.2,835.2
41,923.891333333333,553.32,845.76,882.48,877.68,803.2,817.28
42,953.950666666667,551.44,941.68,860.08,970.8,827.6,832
43,939.717333333334,567.12,848.48,967.68,939.28,827.52,787.36
44,935.885333333333,567,829.04,819.04,937.92,871.68,803.76
45,942.755333333333,554.2,830.24,802.48,971.6,803.2,813.12
46,928.604666666667,565.72,769.52,961.92,895.84,853.84,800.64
47,919.545666666667,561.68,833.44,918.24,910.64,789.04,
48,917.355,567.6,839.28,887.52,865.04,776.24,
49,938.812666666667,563.84,799.28,802.48,886.16,719.44,
50,940.098,546.32,845.52,869.36,968.96,810.32,
51,938.492333333333,562.64,891.76,914,932.08,825.84,
52,937.010666666667,590.32,860.56,897.76,,,
53,933.286666666667,568.4,839.68,846.24,,,
54,924.231666666667,569.12,797.84,851.84,,,
55,918.307666666667,553.4,816.24,911.36,,,
56,915.494,542.32,804.8,861.36,,,
57,914.278,580.64,886.8,880.8,,,
58,911.369,554.64,897.84,,,,
59,913.967,564.8,,,,,
60,909.541,562.96,,,,,
