,input,itercalc,itertheo,fastcalc,fasttheo,invfilcalc,invfiltheo
Ch1,347.09742670877404,230.56434203084575,290.29218027759237,149.50216270400705,188.48439424178966,214.64022538316274,231.21963704901813
Ch2,301.82881229119994,198.97515517391636,246.10235732804355,145.0629735921075,182.05868701991434,209.22807366096077,226.77558255655376
Ch3,334.31435986825073,211.9048148045378,282.0839203053433,127.84583915079276,171.34409958887596,183.41443858359082,206.58178782307235
Ch4,388.3295446070186,212.86802531017017,300.78813292117616,185.11220730503697,184.988323869917,228.45489115591946,245.4107703390817
