,input,itercalc,itertheo,fastcalc,fasttheo,invfilcalc,invfiltheo
Ch1,0.006179716945105524,0.0021163829741496663,0.00015364755302685475,0.00249553918225381,0.009436731238980771,0.0011159681021768609,0.0018099225405703715
Ch2,0.0029014710582707963,0.0023331807318205285,0.0023181887008813552,0.013579231531889285,0.019869060659317074,0.004252411982456111,0.0016481095565746178
Ch3,0.004843833419814376,0.002935245278396931,0.005003646472304598,0.002561727721517144,0.0030567458033630393,0.0013151637815221335,0.0016654820828730893
Ch4,0.003651216382145091,0.0009478597667175855,0.0019870316645850747,0.004692185964826576,0.004762904881954829,0.002966574472121315,0.0008710585879929211
