,input,itercalc,itertheo,fastcalc,fasttheo,invfilcalc,invfiltheo
Ch1,6.17971694510552,2.11638297414967,0.153647553026855,2.49553918225381,9.43673123898077,1.11596810217686,1.80992254057037
Ch2,2.9014710582708,2.33318073182053,2.31818870088136,13.5792315318893,19.8690606593171,4.25241198245611,1.64810955657462
Ch3,4.84383341981438,2.93524527839693,5.0036464723046,2.56172772151714,3.05674580336304,1.31516378152213,1.66548208287309
Ch4,3.65121638214509,0.947859766717586,1.98703166458507,4.69218596482658,4.76290488195483,2.96657447212131,0.871058587992921
