Distance,Intensity Ch1
0,4034
0.075,4103
0.15,4041
0.226,4254
0.301,4560
0.376,4822
0.451,5152
0.526,5321
0.602,5430
0.677,5394
0.752,6766
0.827,12202
0.903,22015
0.978,33616
1.053,34742
1.128,26141
1.203,19880
1.279,17807
1.354,16845
1.429,14860
1.504,12659
1.579,9992
1.655,8488
1.73,8159
1.805,7904
1.88,7557
1.956,7111
2.031,6835
2.106,6122
2.181,5820
2.256,5721
2.332,5334
2.407,5063
2.482,4625
2.557,4559
2.632,4477
2.708,4392
