Distance,Intensity Ch1
0,7367
0.075,8095
0.15,8456
0.225,8763
0.3,9938
0.375,9961
0.45,10797
0.525,11090
0.6,11835
0.675,12156
0.75,12765
0.825,13611
0.9,14133
0.975,17028
1.05,18758
1.125,21172
1.2,26846
1.275,30588
1.35,36484
1.425,40117
1.5,43116
1.574,46887
1.649,47355
1.724,47261
1.799,47002
1.874,47991
1.949,48084
2.024,43185
2.099,45731
2.174,42559
2.249,39716
2.324,38952
2.399,34974
2.474,33741
2.549,32460
2.624,31160
2.699,28580
2.774,29207
2.849,28323
2.924,28407
2.999,26109
3.074,23177
3.149,21691
3.224,20711
3.299,19078
3.374,19044
3.449,16029
3.524,14811
3.599,13775
3.674,13772
3.749,12946
3.824,11595
3.899,11075
3.974,10162
4.049,9793
4.124,9528
4.199,9248
4.274,8860
4.349,8980
4.424,8580
4.499,8283
