Distance_(microns),Gray_Value
0.00000,37.000
0.04540,39.619
0.09080,42.016
0.13620,45.782
0.18160,51.452
0.22700,47.301
0.27240,53.504
0.31780,62.486
0.36320,81.639
0.40860,106.081
0.45400,111.352
0.49940,109.922
0.54480,71.905
0.59020,34.020
0.63560,12.828
0.68100,3.698
0.72640,1.404
0.77180,0.783
0.81720,0.063
0.86260,0.193
0.90800,0.000
0.95340,0.000
0.99880,0.000
1.04420,0.000
1.08960,0.000
1.13500,0.000
1.18040,0.000
1.22580,0.000
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.815
1.45280,1.308
1.49820,1.205
1.54360,0.891
1.58900,0.109
1.63440,0.000
1.67980,0.000
1.72520,0.109
1.77060,6.386
1.81600,729.399
1.86140,7391.914
1.90680,18805.764
1.95220,32032.836
1.99760,46622.039
2.04300,57132.191
2.08840,61887.250
2.13380,62869.707
2.17920,58791.504
2.22460,49071.234
2.27000,34303.215
2.31540,19747.959
2.36080,7929.755
2.40620,403.097
2.45160,16.219
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,0.000
2.67860,0.674
2.72400,1.000
2.76940,0.771
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,0.353
2.99640,1.983
3.04180,1.309
3.08720,0.630
3.13260,2.558E-13
3.17800,0.000
3.22340,0.000
3.26880,0.000
3.31420,0.000
3.35960,0.000
3.40500,0.196
3.45040,1.391
3.49580,4.556
3.54120,12.636
3.58660,32.777
3.63200,59.725
3.67740,119.400
3.72280,151.461
3.76820,201.526
3.81360,238.107
3.85900,252.039
3.90440,236.672
3.94980,189.645
3.99520,166.941
4.04060,128.078
4.08600,107.306
4.13140,94.509
4.17680,80.000
