Distance_(microns),Gray_Value
0.00000,100.250
0.04540,99.808
0.09080,105.633
0.13620,104.001
0.18160,109.386
0.22700,116.981
0.27240,126.675
0.31780,107.894
0.36320,106.922
0.40860,111.566
0.45400,117.134
0.49940,113.358
0.54480,117.825
0.59020,113.670
0.63560,115.173
0.68100,110.189
0.72640,122.133
0.77180,128.280
0.81720,121.414
0.86260,130.949
0.90800,132.993
0.95340,116.958
0.99880,126.915
1.04420,131.000
1.08960,140.157
1.13500,143.715
1.18040,139.681
1.22580,159.487
1.27120,163.980
1.31660,162.356
1.36200,174.569
1.40740,163.354
1.45280,173.287
1.49820,160.793
1.54360,157.550
1.58900,160.521
1.63440,167.208
1.67980,171.944
1.72520,209.114
1.77060,268.158
1.81600,404.851
1.86140,635.918
1.90680,965.279
1.95220,1421.991
1.99760,1873.281
2.04300,2108.455
2.08840,2199.500
2.13380,2059.529
2.17920,1685.536
2.22460,1311.358
2.27000,892.567
2.31540,529.318
2.36080,315.503
2.40620,228.049
2.45160,190.394
2.49700,188.669
2.54240,175.816
2.58780,158.918
2.63320,162.946
2.67860,177.539
2.72400,181.264
2.76940,179.780
2.81480,191.233
2.86020,191.444
2.90560,170.637
2.95100,158.494
2.99640,147.890
3.04180,135.985
3.08720,135.569
3.13260,139.500
3.17800,130.433
3.22340,127.266
3.26880,129.505
3.31420,130.144
3.35960,128.960
3.40500,123.352
3.45040,129.750
3.49580,122.545
3.54120,116.561
3.58660,119.549
3.63200,104.657
3.67740,115.971
3.72280,114.365
3.76820,117.628
3.81360,122.457
3.85900,114.527
3.90440,123.198
3.94980,116.601
3.99520,119.306
4.04060,103.080
4.08600,113.634
4.13140,115.649
4.17680,112.500
