Distance_(microns),Gray_Value
0.00000,36.500
0.04540,30.722
0.09080,72.160
0.13620,28.704
0.18160,44.625
0.22700,48.342
0.27240,112.150
0.31780,140.518
0.36320,38.545
0.40860,43.322
0.45400,54.776
0.49940,77.156
0.54480,78.020
0.59020,36.042
0.63560,23.967
0.68100,24.229
0.72640,26.878
0.77180,38.820
0.81720,47.635
0.86260,25.394
0.90800,24.023
0.95340,49.068
0.99880,88.487
1.04420,146.500
1.08960,241.832
1.13500,71.160
1.18040,32.593
1.22580,54.865
1.27120,29.315
1.31660,33.060
1.36200,26.177
1.40740,18.179
1.45280,15.984
1.49820,17.148
1.54360,3.876
1.58900,3.790
1.63440,5.761
1.67980,3.827
1.72520,4.714
1.77060,4.526
1.81600,20.578
1.86140,180.896
1.90680,1202.517
1.95220,11224.478
1.99760,24426.568
2.04300,51911.801
2.08840,46847.750
2.13380,33795.586
2.17920,13749.452
2.22460,2787.077
2.27000,365.264
2.31540,41.515
2.36080,10.749
2.40620,8.910
2.45160,9.933
2.49700,8.919
2.54240,11.583
2.58780,18.622
2.63320,10.653
2.67860,32.491
2.72400,58.943
2.76940,96.693
2.81480,60.469
2.86020,51.120
2.90560,63.359
2.95100,44.774
2.99640,40.832
3.04180,31.268
3.08720,57.180
3.13260,26.500
3.17800,36.267
3.22340,74.779
3.26880,57.328
3.31420,52.958
3.35960,84.500
3.40500,50.585
3.45040,62.170
3.49580,26.931
3.54120,98.006
3.58660,95.439
3.63200,27.486
3.67740,44.480
3.72280,28.647
3.76820,26.038
3.81360,36.699
3.85900,29.915
3.90440,35.534
3.94980,25.661
3.99520,101.261
4.04060,148.101
4.08600,81.572
4.13140,29.612
4.17680,44.750
