Distance_(microns),Gray_Value
0.00000,134.750
0.04540,196.065
0.09080,120.092
0.13620,12.134
0.18160,6.041
0.22700,70.182
0.27240,140.325
0.31780,81.758
0.36320,252.885
0.40860,308.138
0.45400,435.721
0.49940,504.849
0.54480,410.450
0.59020,326.535
0.63560,211.765
0.68100,116.220
0.72640,299.571
0.77180,249.589
0.81720,166.747
0.86260,190.243
0.90800,233.155
0.95340,14.974
0.99880,93.074
1.04420,172.500
1.08960,264.598
1.13500,340.707
1.18040,356.276
1.22580,180.114
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.000
1.45280,0.000
1.49820,64.780
1.54360,186.808
1.58900,427.144
1.63440,483.212
1.67980,597.542
1.72520,238.185
1.77060,0.000
1.81600,0.000
1.86140,0.000
1.90680,1190.522
1.95220,9804.396
1.99760,24649.906
2.04300,40249.973
2.08840,53657.000
2.13380,59434.445
2.17920,43619.445
2.22460,27750.059
2.27000,12311.014
2.31540,2023.061
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,8.223
2.54240,47.159
2.58780,20.539
2.63320,15.431
2.67860,38.790
2.72400,0.000
2.76940,0.000
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,0.000
2.99640,0.000
3.04180,0.000
3.08720,0.000
3.13260,0.000
3.17800,1.782
3.22340,70.862
3.26880,334.603
3.31420,277.533
3.35960,123.297
3.40500,110.586
3.45040,186.920
3.49580,140.617
3.54120,82.616
3.58660,65.166
3.63200,148.849
3.67740,202.252
3.72280,159.578
3.76820,31.474
3.81360,37.521
3.85900,58.785
3.90440,130.958
3.94980,205.460
3.99520,245.868
4.04060,253.404
4.08600,70.759
4.13140,284.927
4.17680,321.000
