Distance_(microns),Gray_Value
0.00000,55.000
0.04540,65.896
0.09080,64.664
0.13620,27.484
0.18160,41.968
0.22700,39.085
0.27240,46.083
0.31780,25.079
0.36320,26.268
0.40860,32.104
0.45400,62.131
0.49940,65.750
0.54480,167.105
0.59020,167.206
0.63560,59.374
0.68100,55.683
0.72640,66.604
0.77180,106.057
0.81720,75.620
0.86260,149.846
0.90800,328.699
0.95340,121.021
0.99880,92.165
1.04420,59.500
1.08960,46.583
1.13500,18.244
1.18040,42.929
1.22580,59.226
1.27120,16.399
1.31660,14.128
1.36200,9.474
1.40740,2.957
1.45280,2.881
1.49820,9.485
1.54360,37.988
1.58900,78.966
1.63440,87.606
1.67980,33.514
1.72520,14.284
1.77060,16.588
1.81600,159.153
1.86140,1208.176
1.90680,5919.816
1.95220,19159.514
1.99760,35326.934
2.04300,60314.883
2.08840,57190.750
2.13380,43919.707
2.17920,23656.715
2.22460,7524.699
2.27000,2114.960
2.31540,419.918
2.36080,54.577
2.40620,12.371
2.45160,17.172
2.49700,23.092
2.54240,20.703
2.58780,9.627
2.63320,3.868
2.67860,1.894
2.72400,3.786
2.76940,11.534
2.81480,21.628
2.86020,40.194
2.90560,37.209
2.95100,29.687
2.99640,31.604
3.04180,21.802
3.08720,12.715
3.13260,23.000
3.17800,107.616
3.22340,135.749
3.26880,69.597
3.31420,78.201
3.35960,31.223
3.40500,28.615
3.45040,135.624
3.49580,81.319
3.54120,133.952
3.58660,135.566
3.63200,66.060
3.67740,107.167
3.72280,74.935
3.76820,48.022
3.81360,59.609
3.85900,76.432
3.90440,55.086
3.94980,43.628
3.99520,89.820
4.04060,59.927
4.08600,33.443
4.13140,51.062
4.17680,67.000
