Distance_(microns),Gray_Value
0.00000,0.250
0.04540,0.000
0.09080,0.000
0.13620,9.834
0.18160,9.929
0.22700,33.771
0.27240,39.917
0.31780,57.269
0.36320,67.844
0.40860,93.129
0.45400,108.258
0.49940,114.078
0.54480,79.202
0.59020,28.813
0.63560,0.000
0.68100,0.000
0.72640,0.293
0.77180,38.774
0.81720,100.538
0.86260,101.593
0.90800,58.960
0.95340,48.021
0.99880,132.315
1.04420,329.500
1.08960,531.517
1.13500,698.439
1.18040,719.356
1.22580,661.009
1.27120,635.878
1.31660,663.003
1.36200,693.551
1.40740,623.003
1.45280,312.952
1.49820,34.692
1.54360,0.000
1.58900,0.000
1.63440,0.000
1.67980,0.000
1.72520,0.000
1.77060,0.000
1.81600,0.000
1.86140,789.686
1.90680,7154.051
1.95220,21442.055
1.99760,38663.113
2.04300,53481.578
2.08840,59788.750
2.13380,58257.555
2.17920,46655.922
2.22460,29693.504
2.27000,13485.822
2.31540,2696.392
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,0.000
2.67860,0.000
2.72400,312.371
2.76940,886.882
2.81480,1147.210
2.86020,1084.106
2.90560,853.682
2.95100,589.607
2.99640,364.537
3.04180,256.871
3.08720,238.361
3.13260,284.000
3.17800,341.627
3.22340,374.469
3.26880,366.870
3.31420,314.293
3.35960,254.045
3.40500,205.915
3.45040,162.276
3.49580,129.410
3.54120,107.461
3.58660,83.818
3.63200,54.456
3.67740,42.669
3.72280,38.931
3.76820,48.767
3.81360,59.543
3.85900,62.790
3.90440,87.265
3.94980,118.067
3.99520,159.881
4.04060,168.318
4.08600,137.480
4.13140,60.443
4.17680,9.750
