Distance_(microns),Gray_Value
0.00000,312.000
0.04540,300.791
0.09080,305.855
0.13620,273.746
0.18160,254.675
0.22700,261.413
0.27240,268.977
0.31780,287.585
0.36320,281.868
0.40860,303.617
0.45400,275.709
0.49940,263.188
0.54480,243.512
0.59020,242.915
0.63560,263.138
0.68100,278.319
0.72640,323.023
0.77180,341.250
0.81720,360.958
0.86260,372.968
0.90800,382.106
0.95340,334.852
0.99880,284.809
1.04420,252.000
1.08960,243.674
1.13500,261.555
1.18040,272.471
1.22580,281.773
1.27120,260.707
1.31660,244.775
1.36200,225.476
1.40740,247.357
1.45280,214.032
1.49820,138.621
1.54360,59.438
1.58900,18.466
1.63440,2.133
1.67980,0.348
1.72520,0.239
1.77060,1.370
1.81600,33.000
1.86140,881.971
1.90680,5603.249
1.95220,17217.447
1.99760,31455.525
2.04300,44660.758
2.08840,53784.500
2.13380,55982.441
2.17920,47163.270
2.22460,34642.715
2.27000,20414.133
2.31540,8187.605
2.36080,1267.106
2.40620,62.320
2.45160,7.012
2.49700,1.174
2.54240,2.719
2.58780,13.790
2.63320,62.787
2.67860,273.763
2.72400,610.936
2.76940,920.238
2.81480,811.773
2.86020,626.654
2.90560,385.112
2.95100,274.665
2.99640,217.215
3.04180,175.538
3.08720,184.096
3.13260,178.500
3.17800,203.734
3.22340,227.742
3.26880,229.990
3.31420,224.267
3.35960,219.754
3.40500,233.971
3.45040,241.107
3.49580,259.675
3.54120,294.765
3.58660,292.326
3.63200,277.964
3.67740,280.394
3.72280,274.485
3.76820,291.884
3.81360,321.855
3.85900,357.791
3.90440,362.874
3.94980,357.255
3.99520,353.528
4.04060,356.941
4.08600,361.952
4.13140,333.410
4.17680,331.750
