Distance_(microns),Gray_Value
0.00000,110.000
0.04540,104.198
0.09080,104.396
0.13620,114.619
0.18160,96.250
0.22700,102.454
0.27240,117.092
0.31780,107.076
0.36320,113.313
0.40860,114.966
0.45400,114.088
0.49940,118.319
0.54480,123.238
0.59020,120.169
0.63560,114.909
0.68100,110.431
0.72640,121.086
0.77180,127.561
0.81720,126.183
0.86260,116.774
0.90800,109.121
0.95340,103.829
0.99880,111.056
1.04420,113.500
1.08960,132.127
1.13500,145.454
1.18040,146.260
1.22580,157.037
1.27120,175.100
1.31660,190.493
1.36200,171.148
1.40740,176.206
1.45280,179.851
1.49820,182.255
1.54360,203.939
1.58900,183.323
1.63440,181.602
1.67980,183.823
1.72520,194.220
1.77060,257.639
1.81600,375.917
1.86140,608.192
1.90680,1009.265
1.95220,1364.166
1.99760,1684.088
2.04300,2016.735
2.08840,2206.000
2.13380,2180.558
2.17920,1847.320
2.22460,1445.347
2.27000,1029.385
2.31540,667.939
2.36080,416.151
2.40620,277.063
2.45160,220.973
2.49700,202.758
2.54240,195.987
2.58780,182.337
2.63320,186.796
2.67860,173.995
2.72400,183.114
2.76940,199.161
2.81480,214.872
2.86020,207.286
2.90560,196.797
2.95100,185.283
2.99640,169.776
3.04180,163.089
3.08720,152.186
3.13260,148.500
3.17800,134.017
3.22340,119.023
3.26880,128.812
3.31420,126.937
3.35960,127.558
3.40500,125.604
3.45040,124.833
3.49580,119.618
3.54120,121.438
3.58660,122.760
3.63200,118.847
3.67740,112.436
3.72280,112.909
3.76820,117.707
3.81360,110.843
3.85900,117.377
3.90440,114.482
3.94980,113.590
3.99520,111.010
4.04060,96.439
4.08600,108.817
4.13140,110.517
4.17680,113.250
