Distance_(microns),Gray_Value
0.00000,215.500
0.04540,214.757
0.09080,208.140
0.13620,201.719
0.18160,214.146
0.22700,216.991
0.27240,221.129
0.31780,213.128
0.36320,231.455
0.40860,223.856
0.45400,217.845
0.49940,222.110
0.54480,216.157
0.59020,234.133
0.63560,234.223
0.68100,225.965
0.72640,220.955
0.77180,240.943
0.81720,236.921
0.86260,229.169
0.90800,232.764
0.95340,246.999
0.99880,268.175
1.04420,283.000
1.08960,305.759
1.13500,303.772
1.18040,345.591
1.22580,342.575
1.27120,353.747
1.31660,378.807
1.36200,394.618
1.40740,493.495
1.45280,492.094
1.49820,529.253
1.54360,592.892
1.58900,657.538
1.63440,682.048
1.67980,661.575
1.72520,664.088
1.77060,682.151
1.81600,808.489
1.86140,1121.232
1.90680,1668.120
1.95220,2505.327
1.99760,3620.396
2.04300,4663.368
2.08840,5169.750
2.13380,5057.509
2.17920,4308.886
2.22460,3293.565
2.27000,2170.264
2.31540,1463.267
2.36080,1027.977
2.40620,758.975
2.45160,639.388
2.49700,596.353
2.54240,580.463
2.58780,608.349
2.63320,606.495
2.67860,582.777
2.72400,516.846
2.76940,471.179
2.81480,382.271
2.86020,348.030
2.90560,355.144
2.95100,346.681
2.99640,347.728
3.04180,300.457
3.08720,297.716
3.13260,300.000
3.17800,268.233
3.22340,264.896
3.26880,254.114
3.31420,243.191
3.35960,244.310
3.40500,234.236
3.45040,247.654
3.49580,239.486
3.54120,234.552
3.58660,233.213
3.63200,236.618
3.67740,228.345
3.72280,230.597
3.76820,228.294
3.81360,223.309
3.85900,230.042
3.90440,215.032
3.94980,228.198
3.99520,224.701
4.04060,215.602
4.08600,213.060
4.13140,214.354
4.17680,219.750
