Distance_(microns),Gray_Value
0.00000,18.000
0.04540,28.048
0.09080,13.305
0.13620,13.900
0.18160,16.613
0.22700,14.184
0.27240,19.627
0.31780,12.885
0.36320,14.306
0.40860,19.364
0.45400,21.700
0.49940,9.765
0.54480,20.055
0.59020,7.380
0.63560,8.569
0.68100,11.988
0.72640,13.707
0.77180,11.963
0.81720,6.261
0.86260,8.941
0.90800,7.259
0.95340,9.233
0.99880,5.851
1.04420,8.000
1.08960,7.787
1.13500,11.149
1.18040,12.303
1.22580,18.860
1.27120,20.846
1.31660,14.222
1.36200,32.980
1.40740,25.194
1.45280,20.540
1.49820,30.083
1.54360,54.603
1.58900,111.383
1.63440,271.178
1.67980,283.304
1.72520,243.191
1.77060,118.905
1.81600,170.181
1.86140,359.779
1.90680,1170.204
1.95220,5033.864
1.99760,16759.457
2.04300,36255.777
2.08840,55333.000
2.13380,57797.734
2.17920,40187.043
2.22460,16634.123
2.27000,4830.296
2.31540,1179.708
2.36080,215.762
2.40620,47.958
2.45160,102.635
2.49700,100.233
2.54240,105.221
2.58780,102.347
2.63320,72.747
2.67860,75.467
2.72400,53.661
2.76940,17.439
2.81480,13.916
2.86020,6.813
2.90560,5.548
2.95100,8.511
2.99640,17.508
3.04180,17.153
3.08720,16.038
3.13260,16.500
3.17800,8.225
3.22340,10.099
3.26880,12.359
3.31420,10.373
3.35960,9.513
3.40500,9.187
3.45040,19.116
3.49580,12.216
3.54120,16.142
3.58660,15.686
3.63200,9.246
3.67740,9.220
3.72280,11.193
3.76820,12.116
3.81360,9.673
3.85900,5.038
3.90440,17.715
3.94980,12.574
3.99520,10.472
4.04060,13.607
4.08600,23.034
4.13140,22.742
4.17680,24.500
