Distance_(microns),Gray_Value
0.00000,213.000
0.04540,231.258
0.09080,203.243
0.13620,164.539
0.18160,158.214
0.22700,191.717
0.27240,215.074
0.31780,211.953
0.36320,180.183
0.40860,169.150
0.45400,182.441
0.49940,188.418
0.54480,190.330
0.59020,199.836
0.63560,209.393
0.68100,222.416
0.72640,224.461
0.77180,230.809
0.81720,229.765
0.86260,187.786
0.90800,89.121
0.95340,5.938
0.99880,0.000
1.04420,0.000
1.08960,3.563
1.13500,32.164
1.18040,84.414
1.22580,46.548
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.000
1.45280,20.203
1.49820,115.080
1.54360,369.740
1.58900,671.451
1.63440,729.858
1.67980,436.193
1.72520,125.792
1.77060,0.000
1.81600,0.000
1.86140,62.881
1.90680,2149.813
1.95220,12700.993
1.99760,29164.791
2.04300,46740.043
2.08840,55621.000
2.13380,54811.520
2.17920,41542.520
2.22460,23437.002
2.27000,8735.941
2.31540,1379.731
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,80.785
2.58780,545.287
2.63320,1077.309
2.67860,1025.182
2.72400,554.704
2.76940,13.199
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,58.504
2.99640,164.657
3.04180,68.319
3.08720,7.127
3.13260,0.000
3.17800,16.213
3.22340,123.918
3.26880,243.603
3.31420,273.286
3.35960,251.592
3.40500,215.565
3.45040,213.592
3.49580,245.842
3.54120,277.392
3.58660,267.699
3.63200,243.446
3.67740,230.142
3.72280,214.469
3.76820,214.024
3.81360,208.688
3.85900,215.253
3.90440,240.844
3.94980,248.965
3.99520,236.316
4.04060,197.311
4.08600,165.528
4.13140,162.605
4.17680,179.000
