Distance_(microns),Gray_Value
0.00000,386.500
0.04540,338.358
0.09080,51.174
0.13620,0.000
0.18160,114.696
0.22700,304.013
0.27240,369.865
0.31780,361.535
0.36320,345.150
0.40860,310.284
0.45400,368.819
0.49940,240.542
0.54480,169.639
0.59020,258.644
0.63560,224.776
0.68100,143.080
0.72640,246.637
0.77180,184.138
0.81720,61.621
0.86260,90.457
0.90800,0.000
0.95340,0.000
0.99880,60.062
1.04420,138.000
1.08960,85.662
1.13500,127.470
1.18040,226.628
1.22580,153.043
1.27120,9.953
1.31660,0.000
1.36200,0.000
1.40740,0.000
1.45280,0.000
1.49820,0.000
1.54360,22.554
1.58900,240.138
1.63440,319.367
1.67980,268.705
1.72520,27.292
1.77060,0.000
1.81600,0.000
1.86140,0.000
1.90680,2481.807
1.95220,13108.853
1.99760,28354.885
2.04300,43141.117
2.08840,50361.250
2.13380,49933.258
2.17920,39320.141
2.22460,23448.869
2.27000,8624.219
2.31540,1041.618
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,6.890
2.58780,0.000
2.63320,0.000
2.67860,0.000
2.72400,0.000
2.76940,0.000
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,3.005
2.99640,23.155
3.04180,18.822
3.08720,39.347
3.13260,5.909E-11
3.17800,0.000
3.22340,2.555
3.26880,4.884
3.31420,191.225
3.35960,324.950
3.40500,436.588
3.45040,604.626
3.49580,478.558
3.54120,416.484
3.58660,432.907
3.63200,375.334
3.67740,438.493
3.72280,342.694
3.76820,184.520
3.81360,171.108
3.85900,242.082
3.90440,193.465
3.94980,180.460
3.99520,203.488
4.04060,224.917
4.08600,188.441
4.13140,405.594
4.17680,473.000
