Distance_(microns),Gray_Value
0.00000,157.750
0.04540,157.432
0.09080,145.090
0.13620,179.401
0.18160,160.665
0.22700,118.659
0.27240,85.751
0.31780,51.871
0.36320,49.281
0.40860,60.780
0.45400,114.971
0.49940,220.195
0.54480,339.420
0.59020,404.931
0.63560,346.277
0.68100,244.146
0.72640,203.086
0.77180,213.993
0.81720,322.309
0.86260,666.267
0.90800,1079.895
0.95340,1342.250
0.99880,805.753
1.04420,304.000
1.08960,69.915
1.13500,11.158
1.18040,1.828
1.22580,0.177
1.27120,0.000
1.31660,0.000
1.36200,0.000
1.40740,0.077
1.45280,1.525
1.49820,1.978
1.54360,1.833
1.58900,1.109
1.63440,0.326
1.67980,0.000
1.72520,0.239
1.77060,1.022
1.81600,1.804
1.86140,0.682
1.90680,29.284
1.95220,5762.241
1.99760,27840.705
2.04300,46087.125
2.08840,54651.750
2.13380,57034.129
2.17920,52883.973
2.22460,37521.098
2.27000,12775.287
2.31540,1104.285
2.36080,1.575
2.40620,5.759
2.45160,2.697
2.49700,1.087
2.54240,0.542
2.58780,0.000
2.63320,0.000
2.67860,0.674
2.72400,0.674
2.76940,0.033
2.81480,0.000
2.86020,0.000
2.90560,0.000
2.95100,0.530
2.99640,2.967
3.04180,1.618
3.08720,0.178
3.13260,0.000
3.17800,0.000
3.22340,0.065
3.26880,0.848
3.31420,4.481
3.35960,19.791
3.40500,67.005
3.45040,174.947
3.49580,354.118
3.54120,614.979
3.58660,728.746
3.63200,624.415
3.67740,410.814
3.72280,268.350
3.76820,174.240
3.81360,91.241
3.85900,69.128
3.90440,40.792
3.94980,26.587
3.99520,16.466
4.04060,13.576
4.08600,16.043
4.13140,19.739
4.17680,31.250
