Distance_(microns),Gray_Value
0.00000,8.000
0.04540,2.457
0.09080,2.267
0.13620,0.000
0.18160,0.000
0.22700,0.000
0.27240,0.000
0.31780,0.000
0.36320,0.000
0.40860,20.794
0.45400,109.752
0.49940,224.719
0.54480,317.679
0.59020,315.262
0.63560,229.886
0.68100,112.188
0.72640,41.637
0.77180,123.430
0.81720,346.135
0.86260,620.107
0.90800,840.552
0.95340,837.852
0.99880,645.216
1.04420,386.000
1.08960,243.898
1.13500,291.059
1.18040,549.556
1.22580,734.952
1.27120,648.433
1.31660,229.461
1.36200,2.169
1.40740,0.000
1.45280,0.000
1.49820,0.000
1.54360,34.750
1.58900,251.327
1.63440,55.867
1.67980,0.000
1.72520,0.000
1.77060,0.000
1.81600,0.000
1.86140,4721.024
1.90680,16122.511
1.95220,30468.693
1.99760,44352.777
2.04300,53026.441
2.08840,53407.500
2.13380,47546.645
2.17920,35063.730
2.22460,20323.023
2.27000,7681.255
2.31540,948.930
2.36080,0.000
2.40620,0.000
2.45160,0.000
2.49700,0.000
2.54240,0.000
2.58780,0.000
2.63320,0.000
2.67860,0.000
2.72400,0.000
2.76940,27.677
2.81480,440.533
2.86020,890.164
2.90560,891.517
2.95100,582.225
2.99640,202.630
3.04180,8.022
3.08720,0.000
3.13260,91.500
3.17800,269.246
3.22340,364.373
3.26880,317.215
3.31420,200.367
3.35960,88.345
3.40500,54.910
3.45040,103.593
3.49580,158.629
3.54120,189.828
3.58660,165.632
3.63200,102.044
3.67740,49.646
3.72280,22.721
3.76820,26.562
3.81360,45.475
3.85900,54.998
3.90440,35.260
3.94980,12.973
3.99520,0.337
4.04060,0.000
4.08600,0.000
4.13140,0.000
4.17680,0.000
